10,24.86,102592.75,41.51
20,24.86,102589.15,41.46
30,24.83,102589.69,41.53
40,24.83,102592.19,41.60
50,25.31,102591.91,72.50
60,25.07,102595.30,49.87
70,24.98,102593.21,45.74
80,24.93,102590.49,43.90
90,24.91,102592.80,43.16
100,24.88,102587.98,42.69
110,24.85,102589.32,42.51
120,24.85,102591.77,42.44
130,24.85,102589.53,42.37
140,24.85,102588.72,42.32
150,24.85,102588.99,42.25
160,24.83,102589.86,43.52
170,24.83,102591.33,42.39
180,24.82,102588.97,42.23
190,24.81,102590.25,42.17
200,24.80,102590.61,42.12
210,24.79,102594.83,42.12
220,24.77,102589.67,42.20
230,24.76,102591.77,42.25
240,24.76,102593.14,42.14
